
=== Seller H1 Queue (N=5) ===
ID       | Arrival | Service | Start | End | Seat
---------|---------|---------|-------|-----|--------
H103     |      14 |       2 |    -1 |  -1 | (-1,-1)
H102     |      24 |       1 |    -1 |  -1 | (-1,-1)
H101     |      42 |       1 |    -1 |  -1 | (-1,-1)
H104     |      43 |       2 |    -1 |  -1 | (-1,-1)
H105     |      50 |       2 |    -1 |  -1 | (-1,-1)


=== Seller M1 Queue (N=5) ===
ID       | Arrival | Service | Start | End | Seat
---------|---------|---------|-------|-----|--------
M101     |      17 |       3 |    -1 |  -1 | (-1,-1)
M103     |      18 |       4 |    -1 |  -1 | (-1,-1)
M102     |      33 |       3 |    -1 |  -1 | (-1,-1)
M104     |      37 |       3 |    -1 |  -1 | (-1,-1)
M105     |      37 |       2 |    -1 |  -1 | (-1,-1)


=== Seller L1 Queue (N=5) ===
ID       | Arrival | Service | Start | End | Seat
---------|---------|---------|-------|-----|--------
L103     |      22 |       7 |    -1 |  -1 | (-1,-1)
L105     |      31 |       4 |    -1 |  -1 | (-1,-1)
L101     |      36 |       7 |    -1 |  -1 | (-1,-1)
L104     |      48 |       6 |    -1 |  -1 | (-1,-1)
L102     |      50 |       7 |    -1 |  -1 | (-1,-1)

